Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-03-16 09:32:00+05:30,53944.8,53959.1,53923.55,53947.2,0,6743592.0,53941.33,363758295642.05,10474119100040.18,194749644.0,53782.48,53767.93,53764.29,53760.65,53692.54,78.61,75.62,92.84,92.84,53867.0,53810.74,,53792.8,53792.8,,,,,53865.8,53818.05,53841.92,53818.05,False,True,False,False,False,False,WAIT
2026-03-16 09:33:00+05:30,54002.95,54031.9,53944.05,53944.05,0,6955860.0,53987.97,375532793066.37,10849651893106.55,201705504.0,53789.57,53772.18,53767.83,53763.48,53708.54,82.56,79.09,87.45,87.45,53914.33,53833.76,,53808.28,53808.28,,,,,53961.65,53847.12,53904.39,53847.12,False,False,False,False,False,False,WAIT
2026-03-16 09:34:00+05:30,54038.5,54051.5,54000.4,54000.4,0,8364792.0,54025.95,451915827817.41,11301567720923.95,210070296.0,53798.98,53777.83,53772.54,53767.25,53734.41,84.53,81.81,92.88,92.88,53963.2,53857.92,53807.65,53824.68,53824.68,54012.48,53602.82,53910.07,53705.24,53991.89,53864.9,53928.4,53864.9,False,False,False,False,False,False,BUY
2026-03-16 09:35:00+05:30,54018.8,54051.15,54011.9,54042.45,0,7276452.0,54031.52,393157786779.84,11694725507703.8,217346748.0,53806.77,53782.5,53776.43,53770.36,53766.11,78.98,80.4,74.44,74.44,53991.04,53876.67,53824.03,53838.07,53838.07,54041.66,53606.4,53932.84,53715.21,53968.15,53861.41,53914.78,53861.41,False,False,False,False,False,False,BUY
2026-03-16 09:36:00+05:30,54080.2,54085.35,54010.7,54018.3,0,4454952.0,54048.03,240781358810.02,11935506866513.81,221801700.0,53811.61,53785.4,53778.85,53772.3,53794.65,82.91,81.65,96.36,96.36,54017.05,53900.12,53841.17,53854.3,53854.3,54082.74,53599.6,53961.96,53720.39,54040.33,53885.75,53963.04,53885.75,False,False,False,False,False,False,BUY
2026-03-16 09:37:00+05:30,54113.8,54115.25,54044.5,54081.55,0,7389888.0,54079.88,399644219304.0,12335151085817.81,229191588.0,53820.26,53790.59,53783.18,53775.76,53829.54,84.68,83.17,98.74,98.74,54050.85,53924.5,53858.7,53871.21,53871.21,54125.97,53591.44,53992.34,53725.07,54023.82,53902.55,53963.19,53902.55,False,False,False,False,False,False,BUY
2026-03-16 09:38:00+05:30,54114.15,54128.35,54101.3,54111.25,0,6650940.0,54114.83,359914461979.57,12695065547797.38,235842528.0,53828.57,53795.58,53787.33,53779.08,53869.54,84.7,83.93,87.93,87.93,54073.09,53945.95,53875.28,53886.65,53886.65,54163.01,53587.56,54019.15,53731.42,54009.96,53903.06,53956.51,53903.06,True,False,False,False,False,False,BUY
2026-03-16 09:39:00+05:30,54044.55,54116.35,54039.55,54116.3,0,4242348.0,54077.95,229417487998.1,12924483035795.48,240084876.0,53832.97,53798.22,53789.54,53780.85,53910.95,66.66,75.3,28.77,28.77,54074.3,53957.02,53886.99,53896.45,53896.45,54182.55,53591.43,54034.77,53739.21,53939.61,53884.62,53912.12,53884.62,False,False,False,False,False,False,WAIT
2026-03-16 09:40:00+05:30,54101.75,54102.6,54040.05,54042.35,0,4540464.0,54071.33,245508909915.66,13169991945711.14,244625340.0,53837.4,53800.88,53791.75,53782.62,53945.73,72.15,73.72,70.05,70.05,54090.89,53973.15,53902.49,53908.9,53908.9,54209.32,53595.66,54055.91,53749.08,53969.98,53896.52,53933.25,53896.52,False,False,False,False,False,False,BUY
2026-03-16 09:41:00+05:30,54146.05,54147.5,54097.05,54100.05,0,5352720.0,54122.28,289701385928.91,13459693331640.05,249978060.0,53843.5,53804.54,53794.8,53785.06,53974.95,75.64,74.68,98.66,98.66,54104.06,53992.3,53921.35,53922.98,53922.98,54239.75,53602.96,54080.55,53762.16,54003.4,54269.02,54136.21,53918.68,False,False,False,False,False,False,BUY
