,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-05-19 10:50:00+05:30,23741.7,23767.55,23724.9,23757.45,0,268714160,23746.23,6380947061495.7,178577285356297.6,7526789710,23725.56,23749.58,23745.58,23741.57,23671.74,55.56,59.11,34.01,34.01,23752.15,23738.62,23731.18,23733.69,23733.69,23783.97,23678.4,23757.58,23704.79,23675.18,23731.19,23787.19,True,10.51,11892.29,,,,,,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 10:55:00+05:30,23771.65,23782.2,23741.15,23742.1,0,256563065,23761.67,6096368117423.9,184673653473721.53,7783352775,23726.75,23750.06,23746.17,23742.29,23677.89,63.74,61.43,81.59,81.59,23757.55,23742.47,23733.01,23736.31,23736.31,23788.81,23677.21,23760.91,23705.11,23678.51,23735.04,23791.57,True,37.62,11892.29,,,,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-05-19 11:00:00+05:30,23751.55,23774.95,23744.1,23771.95,0,278369245,23759.52,6613920872701.64,191287574346423.12,8061722020,23727.88,23750.51,23746.74,23742.97,23686.24,55.96,58.69,46.51,46.51,23757.27,23743.52,23733.15,23737.33,23737.33,23789.12,23677.17,23761.14,23705.16,23681.06,23736.61,23792.17,True,16.67,11892.29,,,,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:05:00+05:30,23744.1,23752.65,23738.45,23751.55,0,253608135,23745.55,6022064600516.41,197309638946939.53,8315330155,23728.42,23750.72,23747.01,23743.29,23693.91,53.25,55.97,33.51,33.51,23753.21,23743.58,23732.49,23737.77,23737.77,23787.58,23677.4,23760.04,23704.95,23685.03,23737.32,23789.62,True,9.19,11892.29,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:10:00+05:30,23720.1,23754.0,23718.1,23743.85,0,370947225,23736.05,8804821807510.62,206114460754450.16,8686277380,23728.74,23750.85,23747.17,23743.48,23700.98,45.3,50.64,3.12,3.12,23745.82,23740.93,23734.3,23736.65,23736.65,23784.88,23683.72,23759.59,23709.01,23683.24,23735.68,23788.13,True,-14.89,11892.29,,,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:15:00+05:30,23707.5,23721.5,23695.35,23720.55,0,302922840,23708.42,7181823373762.38,213296284128212.56,8989200220,23728.06,23750.58,23746.83,23743.07,23782.2,41.63,46.13,15.26,15.26,23738.98,23737.18,23734.36,23734.84,23734.84,23784.79,23683.94,23759.58,23709.15,23681.82,23733.0,23784.18,True,-26.18,11882.72,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:20:00+05:30,23713.6,23721.4,23698.45,23708.0,0,210196415,23709.92,4983741193864.89,218280025322077.44,9199396635,23727.65,23750.41,23746.62,23742.82,23780.46,44.1,45.11,31.12,31.12,23727.37,23734.55,23732.56,23733.55,23733.55,23783.27,23681.86,23757.92,23707.21,23681.57,23731.15,23780.74,True,-18.26,11882.72,11925.56,11904.14,,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:25:00+05:30,23727.65,23728.35,23707.05,23713.75,0,258302440,23717.7,6126339831637.7,224406365153715.12,9457699075,23727.37,23750.31,23746.48,23742.66,23778.76,49.61,47.36,55.07,55.07,23722.59,23733.79,23733.2,23733.2,23733.2,23783.29,23683.1,23758.24,23708.15,23682.91,23730.82,23778.73,True,-4.36,11882.72,11925.56,11904.14,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:30:00+05:30,23718.95,23728.15,23705.05,23727.85,0,294569550,23716.6,6986188362129.35,231392553515844.47,9752268625,23727.05,23750.18,23746.32,23742.47,23777.09,46.42,46.89,71.52,71.52,23717.56,23732.15,23734.34,23732.37,23732.37,23781.84,23686.85,23758.09,23710.59,23683.04,23729.69,23776.33,True,-13.07,11882.72,11924.44,11903.58,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,WAIT
2026-05-19 11:35:00+05:30,23724.2,23728.5,23704.85,23720.7,0,257920465,23716.67,6117015793878.78,237509569309723.25,10010189090,23726.78,23750.07,23746.19,23742.31,23775.46,48.66,47.78,85.69,85.69,23718.38,23731.28,23736.67,23731.91,23731.91,23776.38,23696.96,23756.53,23716.82,23683.58,23729.17,23774.75,True,-8.72,11882.72,11924.44,11903.58,,,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,WAIT
2026-05-19 11:40:00+05:30,23749.6,23754.75,23721.7,23724.15,0,226692070,23738.22,5381267274824.16,242890836584547.4,10236881160,23727.03,23750.17,23746.31,23742.46,23773.86,58.19,52.98,89.68,89.68,23726.8,23733.28,23739.22,23732.9,23732.9,23774.98,23703.47,23757.1,23721.35,23685.15,23731.11,23777.07,True,14.43,11882.72,11924.44,11903.58,,,,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 11:45:00+05:30,23754.35,23763.75,23745.7,23750.05,0,187472065,23754.72,4453347276025.85,247344183860573.28,10424353225,23727.53,23750.37,23746.56,23742.76,23772.29,59.76,56.37,84.04,84.04,23734.95,23735.57,23740.75,23734.08,23734.08,23776.35,23705.14,23758.55,23722.95,23689.16,23733.32,23777.49,True,17.31,11882.72,11924.44,11903.58,,,,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,WAIT
2026-05-19 11:50:00+05:30,23760.3,23763.85,23754.2,23754.4,0,212103925,23759.02,5039382332393.48,252383566192966.75,10636457150,23728.16,23750.62,23746.88,23743.13,23770.75,61.78,59.08,93.98,93.98,23741.48,23738.25,23741.05,23735.51,23735.51,23777.23,23704.87,23759.14,23722.96,23694.56,23735.89,23777.23,True,21.83,11882.72,11924.44,11903.58,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,BUY
2026-05-19 11:55:00+05:30,23754.95,23772.75,23752.9,23760.15,0,246202715,23762.83,5850472079156.34,258234038272123.1,10882659865,23728.95,23750.93,23747.27,23743.6,23695.35,58.79,58.94,65.13,65.13,23748.68,23740.05,23742.48,23736.55,23736.55,23778.48,23706.47,23760.48,23724.47,23697.47,23737.71,23777.94,True,14.86,11882.72,11924.44,11903.58,,,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,BUY
2026-05-19 12:00:00+05:30,23740.85,23755.6,23733.75,23754.65,0,236761910,23744.67,5621834559086.69,263855872831209.8,11119421775,23729.28,23751.07,23747.44,23743.81,23696.9,51.42,55.18,18.21,18.21,23752.01,23740.14,23742.56,23736.77,23736.77,23778.54,23706.57,23760.55,23724.57,23698.48,23738.01,23777.53,True,0.57,11882.72,11924.44,11903.58,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 12:05:00+05:30,23740.55,23747.95,23734.65,23741.4,0,202190945,23741.3,4800275843038.08,268656148674247.88,11321612720,23729.49,23751.15,23747.54,23743.93,23698.42,51.26,53.22,17.44,17.44,23750.2,23740.18,23742.03,23736.97,23736.97,23777.8,23706.26,23759.92,23724.15,23700.59,23738.25,23775.91,True,0.41,11882.72,11922.89,11902.81,,,,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-05-19 12:10:00+05:30,23743.0,23749.7,23739.8,23741.45,0,203959635,23744.75,4842970543166.25,273499119217414.12,11525572355,23729.76,23751.26,23747.68,23744.1,23699.9,52.57,52.89,23.72,23.72,23747.93,23740.49,23741.95,23737.28,23737.28,23777.7,23706.2,23759.82,23724.08,23703.22,23738.7,23774.19,True,2.67,11882.72,11922.04,11902.38,,,,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,WAIT
2026-05-19 12:15:00+05:30,23745.4,23747.55,23730.7,23743.05,0,174283615,23739.12,4137340521936.88,277636459739351.0,11699855970,23729.9,23751.32,23747.75,23744.18,23701.36,53.93,53.41,59.04,59.04,23744.95,23741.01,23741.57,23737.69,23737.69,23776.99,23706.15,23759.28,23723.86,23704.83,23739.34,23773.86,True,4.94,11882.72,11917.93,11900.32,,,,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,BUY
