Date,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-01-09 05:30:00+05:30,25683.3,25940.6,25623.0,25840.4,348800,20465948965.0,25781.8,527648999028581.25,527648999028581.25,20465948965.0,25781.8,25053.17,24871.01,24688.85,26362.91,18.16,22.37,9.26,9.26,26025.98,26043.81,,26060.07,26060.07,,,,,,,,False,,13078.13,,,,,,False,False,False,False,True,False,WAIT
2026-01-12 05:30:00+05:30,25790.25,25813.15,25473.4,25669.05,275800,16451903765.0,25643.28,421880698945955.25,421880698945955.25,16451903765.0,25643.28,24970.06,24801.75,24633.44,26333.31,26.48,24.43,44.39,44.39,25933.97,26008.89,,26033.97,26033.97,,,,,,,,False,,13035.65,,,,,,False,True,False,False,True,False,WAIT
2026-01-13 05:30:00+05:30,25732.3,25899.8,25603.3,25897.35,339500,19790057815.0,25751.55,509624678786845.94,509624678786845.94,19790057815.0,25751.55,25035.02,24855.89,24676.76,26281.71,24.94,24.68,39.24,39.24,25844.69,25972.0,,26006.39,26006.39,,,,,,,,False,,13035.65,,,,,,False,False,False,False,True,False,WAIT
2026-01-14 05:30:00+05:30,25665.6,25791.75,25603.95,25648.55,393100,22929105045.0,25697.85,589228693123971.6,589228693123971.6,22929105045.0,25697.85,25002.8,24829.04,24655.27,26233.22,23.18,23.93,41.14,41.14,25749.66,25932.26,,25976.77,25976.77,,,,,,,,False,,13035.65,,,,,,True,False,False,False,True,False,WAIT
2026-01-16 05:30:00+05:30,25694.35,25873.5,25662.4,25696.05,434000,24757031090.0,25767.95,637937944110923.1,637937944110923.1,24757031090.0,25767.95,25044.86,24864.09,24683.31,26187.63,25.71,24.82,51.82,51.82,25713.16,25902.13,,25953.34,25953.34,,,,,,,,False,,13035.65,,,,,,True,False,False,False,True,False,WAIT
2026-01-19 05:30:00+05:30,25585.5,25653.3,25494.35,25653.1,443100,25235509035.0,25573.83,645368496775819.2,645368496775819.2,25235509035.0,25573.83,24928.38,24767.02,24605.66,26144.77,22.55,23.69,22.48,22.48,25693.6,25862.88,,25924.11,25924.11,,,,,,,,False,,13020.63,,,,,,False,True,False,False,True,False,WAIT
2026-01-20 05:30:00+05:30,25232.5,25585.0,25171.35,25580.3,409800,23477269915.0,25378.17,595810259839700.9,595810259839700.9,23477269915.0,25378.17,24810.99,24669.2,24527.4,26104.49,15.56,19.62,8.71,8.71,25582.05,25786.16,,25871.27,25871.27,,,,,,,,False,,12952.25,,,,,,False,False,False,False,True,False,WAIT
2026-01-21 05:30:00+05:30,25157.5,25300.95,24919.8,25141.0,395600,22606396450.0,25110.38,567655092258168.8,567655092258168.8,22606396450.0,25110.38,24650.31,24535.3,24420.28,26029.84,14.49,17.06,24.92,24.92,25467.09,25710.89,,25818.69,25818.69,,,,,,,,False,,12847.45,,,,,,False,True,False,False,True,False,WAIT
2026-01-22 05:30:00+05:30,25289.9,25435.75,25168.5,25344.15,486400,27460918320.0,25302.12,694819587947430.0,694819587947430.0,27460918320.0,25302.12,24765.36,24631.17,24496.98,25918.84,24.79,20.92,50.46,50.46,25391.95,25661.2,25847.39,25781.04,25781.04,26533.37,25161.41,26190.38,25504.4,25515.2,25847.39,26179.59,False,-557.49,12847.45,,,,,,False,True,False,False,True,False,SELL
2026-01-23 05:30:00+05:30,25048.65,25347.95,25025.3,25344.6,393900,22382968630.0,25186.62,563751437270573.8,563751437270573.8,22382968630.0,25186.62,24696.06,24573.42,24450.78,25818.93,19.88,20.4,19.37,19.37,25262.81,25589.82,25792.72,25730.5,25730.5,26550.35,25035.09,26171.54,25413.9,25424.67,25771.32,26117.97,False,-733.37,12847.45,,,,,,False,False,False,False,True,False,SELL
