,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kLowerBand,kMiddleLine,kUpperBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,senkouA_lead,senkouB_lead,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,BUYORSELL
2026-05-21 10:00:00+05:30,23780.05,23790.55,23752.95,23768.35,0,1248071385,23771.75,29668840946373.75,87677966378388.73,3687409990,23777.66,23898.49,23878.35,23858.21,23631.35,87.48,86.92,63.97,63.97,23730.58,23666.87,,23640.65,23640.65,,,,,,,,False,,23729.59,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 10:30:00+05:30,23723.8,23790.0,23719.0,23780.0,0,1312981395,23754.5,31189216547527.5,118867182925916.23,5000391385,23771.58,23896.05,23875.31,23854.56,23658.69,73.83,80.38,3.42,3.42,23739.38,23673.92,,23647.26,23647.26,,,,,,,,False,,23729.59,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 11:00:00+05:30,23742.95,23746.45,23640.05,23723.75,0,1413114230,23693.25,33481268729947.5,152348451655863.75,6413505615,23754.32,23889.15,23866.68,23844.21,23859.15,75.3,77.84,59.84,59.84,23755.1,23682.32,,23654.57,23654.57,,,,,,,,False,,23729.59,,,,,,False,True,False,False,False,False,WAIT
2026-05-21 11:30:00+05:30,23716.05,23744.8,23711.65,23742.55,0,1054216020,23728.23,25014675538869.2,177363127194732.94,7467721635,23750.63,23887.68,23864.84,23842.0,23854.77,69.14,73.49,50.5,50.5,23746.84,23686.36,,23659.1,23659.1,,,,,,,,False,,23729.59,,,,,,False,False,False,False,False,False,WAIT
2026-05-21 12:00:00+05:30,23663.6,23742.25,23649.5,23717.7,0,1351661520,23695.88,32028802420230.0,209391929614962.9,8819383155,23742.24,23884.32,23860.64,23836.96,23850.47,58.62,66.05,15.71,15.71,23725.29,23683.68,23642.66,23659.42,23659.42,23819.26,23466.06,23730.96,23554.36,23541.96,23642.66,23743.36,False,20.94,23663.6,,,,,,False,False,False,False,True,False,WAIT
2026-05-21 12:30:00+05:30,23624.35,23673.95,23607.45,23663.8,0,1161278965,23640.7,27453446720626.31,236845376335589.25,9980662120,23730.43,23879.59,23854.73,23829.87,23846.27,51.96,59.01,12.16,12.16,23694.15,23676.76,23650.0,23657.0,23657.0,23809.03,23490.97,23729.52,23570.49,23540.31,23640.92,23741.53,False,-21.11,23713.32,,,,,,False,False,False,False,False,False,WAIT
2026-05-21 13:00:00+05:30,23631.7,23653.95,23596.85,23624.2,0,1095572610,23625.4,25883340498356.92,262728716833946.16,11076234730,23720.04,23875.44,23849.54,23823.64,23836.71,53.08,56.04,23.56,23.56,23675.73,23671.57,23654.49,23655.3,23655.3,23805.54,23503.44,23730.02,23578.97,23540.85,23640.04,23739.23,False,-15.57,23707.44,,,,,,False,True,False,False,False,False,WAIT
2026-05-21 13:30:00+05:30,23673.3,23691.8,23622.75,23631.6,0,1068906465,23657.28,25287414609324.46,288016131443270.6,12145141195,23714.51,23873.23,23846.78,23820.32,23822.32,59.16,57.6,52.58,52.58,23661.8,23671.77,23662.16,23656.48,23656.48,23799.38,23524.94,23730.77,23593.55,23543.6,23643.21,23742.81,False,20.61,23707.44,,,,,,False,False,False,False,False,False,WAIT
2026-05-21 14:00:00+05:30,23652.5,23678.35,23638.1,23673.35,0,1311093025,23658.22,31018133269234.92,319034264712505.56,13456234220,23709.03,23871.04,23844.03,23817.03,23808.79,55.14,56.37,58.61,58.61,23649.09,23669.59,23667.48,23656.22,23656.22,23793.58,23541.37,23730.53,23604.42,23548.22,23644.09,23739.96,False,-3.28,23705.04,,,,,,False,False,False,False,False,False,WAIT
2026-05-21 14:30:00+05:30,23679.3,23705.4,23650.4,23652.4,0,1613088895,23677.9,38194558177033.35,357228822889538.9,15069323115,23705.7,23869.7,23842.37,23815.03,23796.08,59.16,57.77,75.96,75.96,23652.23,23670.68,23671.48,23657.66,23657.66,23793.47,23549.5,23732.48,23610.49,23552.85,23647.45,23742.04,False,19.83,23705.04,,,,,,False,False,False,False,False,False,WAIT
2026-05-21 15:00:00+05:30,23648.8,23691.3,23631.1,23679.55,0,3903153100,23661.2,92353286892054.6,449582109781593.5,18972476215,23696.54,23866.04,23837.79,23809.54,23784.12,53.07,55.42,31.52,31.52,23657.12,23668.24,23673.49,23657.12,23657.12,23792.41,23554.57,23732.95,23614.03,23553.39,23647.58,23741.76,True,-11.73,23705.04,11960.66,17832.85,,0.0,0.0,False,False,False,False,False,False,WAIT
2026-05-22 09:00:00+05:30,23738.6,23756.25,23675.35,23676.5,0,703248700,23715.8,16678105382106.74,16678105382106.74,703248700,23715.8,23873.74,23847.42,23821.1,23772.89,65.0,60.21,85.9,85.9,23678.5,23676.03,23681.0,23661.96,23661.96,23796.19,23565.82,23738.6,23623.41,23555.68,23656.24,23756.81,True,69.98,23705.04,11960.66,17832.85,,,,False,False,False,False,True,False,WAIT
2026-05-22 09:30:00+05:30,23779.65,23788.7,23729.55,23738.6,0,1408303325,23759.12,33460054736590.62,50138160118697.36,2111552025,23744.7,23885.3,23861.87,23838.43,23596.85,69.05,64.63,94.26,94.26,23699.77,23687.45,23689.36,23668.81,23668.81,23807.84,23570.87,23748.6,23630.11,23568.56,23668.0,23767.44,True,100.97,23705.04,11960.66,17832.85,,,,False,False,False,False,True,False,BUY
2026-05-22 10:00:00+05:30,23761.45,23799.85,23759.4,23778.6,0,1595191950,23779.62,37933066374018.75,88071226492716.11,3706743975,23759.73,23891.31,23869.38,23847.45,23600.69,65.28,64.96,77.24,77.24,23721.56,23695.56,23699.09,23674.1,23674.1,23806.66,23591.51,23752.87,23645.3,23581.15,23676.9,23772.64,True,73.46,23705.04,11960.66,17832.85,,,,True,False,False,False,True,False,BUY
2026-05-22 10:30:00+05:30,23780.75,23797.85,23761.35,23761.35,0,1190065525,23779.6,28299281693420.66,116370508186136.77,4896809500,23764.56,23893.25,23871.8,23850.35,23608.65,67.41,66.18,84.66,84.66,23741.85,23704.86,23706.78,23680.08,23680.08,23814.62,23598.94,23760.7,23652.86,23594.95,23686.79,23778.63,True,83.97,23705.04,11960.66,17832.85,,,,False,False,False,False,True,False,BUY
2026-05-22 11:00:00+05:30,23758.9,23789.3,23750.7,23781.2,0,1232991155,23770.0,29308199754350.0,145678707940486.75,6129800655,23765.65,23893.68,23872.35,23851.01,23616.3,62.54,64.36,41.75,41.75,23763.87,23710.73,23711.43,23684.43,23684.43,23819.87,23602.99,23765.65,23657.21,23605.05,23693.66,23782.27,False,56.36,23705.04,11960.66,17832.85,,,,False,False,False,False,True,False,WAIT
