Datetime,Close,High,Low,Open,Volume,Collective_Volume,Avg_High_Low,Price_Volume_Product,Daily_Cumulative_Price_Volume,Daily_Cumulative_Volume,VWAP,GOLDUP,GOLD,GOLDLOW,SAR,RSI9,EMA3_RSI,%K,%D,SMA5,EMA18,SMA20,SMA50,EMA50,BBUpperBand2,BBLowerBand2,BBUpperBand1,BBLowerBand1,kUpperBand,kMiddleLine,kLowerBand,TTMSQ,diff,tenkan,kijun,senkouA,senkouB,IRBLONG,IRBSHORT,GOLDBAR,INGOLDZ,VWAPBAR,PVWAPBAR,PREHIGH,PRELOW,PIVOT,R1,R2,R3,S3,S2,S1,UpBB2IRB,LowBB2IRB,UpBB1IRB,LowBB1IRB,SMA5IRB,TOP1VOL,TOP2VOL,TOP3VOL,BUYORSELL
2026-03-23 11:45:00+05:30,22554.65,22564.0,22518.0,22518.0,0,688939130,22541.0,15529376929330.0,260865781105016.7,11538362990,22608.56,22788.81,22758.77,22728.73,22676.14,35.14,28.07,63.13,63.13,22543.99,22565.48,,22574.24,22574.24,,,,,22612.51,22612.51,22612.51,False,,22621.41,22629.52,22625.47,22629.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 12:00:00+05:30,22535.35,22562.35,22530.6,22556.05,0,754340565,22546.47,17007720395594.09,277873501500610.8,12292703555,22604.75,22787.28,22756.86,22726.44,22655.6,31.41,29.74,42.73,42.73,22544.69,22561.17,,22570.24,22570.24,,,,,22605.16,22605.16,22605.16,False,,22561.63,22540.91,22551.27,22540.91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 12:15:00+05:30,22511.95,22535.55,22478.7,22534.25,0,941794975,22507.12,21197097226696.88,299070598727307.7,13234498530,22597.8,22784.51,22753.39,22722.27,22637.53,27.44,28.59,35.79,35.79,22536.25,22554.39,,22564.61,22564.61,,,,,22596.28,22596.28,22596.28,False,,22529.65,22608.18,22568.91,22608.18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,WAIT
2026-03-23 12:30:00+05:30,22535.65,22551.5,22497.7,22514.6,0,667534450,22524.6,15035946211714.36,314106544939022.0,13902032980,22594.29,22783.1,22751.63,22720.16,22615.3,36.58,32.58,66.76,66.76,22531.55,22551.89,,22561.96,22561.96,,,,,22590.51,22590.51,22590.51,False,,22547.48,22620.02,22583.75,22620.02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 12:45:00+05:30,22500.05,22555.9,22481.7,22534.7,0,749642245,22518.8,16881043640291.5,330987588579313.5,14651675225,22590.43,22781.56,22749.7,22717.85,22596.17,30.16,31.37,25.52,25.52,22527.53,22545.17,,22556.58,22556.58,,,,,22581.89,22581.89,22581.89,False,,22525.44,22509.43,22517.43,22509.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 13:00:00+05:30,22489.1,22508.25,22472.1,22499.55,0,780458855,22490.17,17552656076816.26,348540244656129.75,15432134080,22585.36,22779.53,22747.17,22714.8,22579.73,28.43,29.9,20.29,20.29,22514.42,22538.07,,22550.98,22550.98,,,,,22573.05,22573.05,22573.05,False,,22503.89,22489.64,22496.76,22489.64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,WAIT
2026-03-23 13:15:00+05:30,22487.05,22514.5,22482.85,22489.7,0,896645860,22498.67,20173343619109.36,368713588275239.1,16328779940,22580.6,22777.62,22744.79,22711.95,22562.51,28.1,29.0,17.84,17.84,22504.76,22531.74,,22545.9,22545.9,,,,,22564.86,22564.86,22564.86,False,,22515.23,22492.86,22504.05,22492.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,WAIT
2026-03-23 13:30:00+05:30,22561.7,22567.35,22487.15,22487.6,0,991532630,22527.25,22336503439167.5,391050091714406.6,17320312570,22577.54,22776.4,22743.26,22710.12,22472.1,51.67,40.34,94.07,94.07,22514.71,22535.39,,22547.11,22547.11,,,,,22564.56,22564.56,22564.56,False,,22595.09,22633.05,22614.07,22633.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 13:45:00+05:30,22599.65,22629.75,22557.6,22558.95,0,1431983080,22593.67,32353760035334.8,423403851749741.44,18752295650,22578.77,22776.89,22743.87,22710.85,22474.0,59.31,49.82,80.91,80.91,22527.51,22543.08,,22550.98,22550.98,,,,,22567.9,22567.9,22567.9,False,,22648.46,22652.02,22650.24,22652.02,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 14:00:00+05:30,22618.7,22661.15,22590.45,22598.85,0,1459892005,22625.8,33031224241593.84,456435075991335.25,20212187655,22582.17,22778.25,22745.57,22712.89,22480.23,62.64,56.23,76.19,76.19,22551.24,22552.01,22560.94,22555.8,22555.8,22682.1,22439.79,22621.52,22500.36,22703.02,22572.74,22442.47,False,51.86,22656.3,22622.25,22639.28,22622.25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,WAIT
2026-03-23 14:15:00+05:30,22611.2,22656.45,22591.95,22619.65,0,1209180060,22624.2,27356730568780.08,483791806560115.4,21421367715,22584.54,22779.2,22746.76,22714.32,22491.09,60.45,58.34,71.29,71.29,22575.66,22558.91,22556.28,22559.62,22559.62,22660.14,22452.43,22608.21,22504.35,22706.62,22576.4,22446.19,True,44.86,22642.98,22617.7,22630.34,22617.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,WAIT
2026-03-23 14:30:00+05:30,22599.1,22617.4,22515.25,22610.55,0,1858492900,22566.33,41939355154579.39,525731161714694.75,23279860615,22583.09,22778.62,22746.03,22713.44,22501.29,56.84,57.59,57.47,57.47,22598.07,22563.54,22550.92,22562.27,22562.27,22630.33,22471.5,22590.63,22511.21,22712.48,22578.57,22444.65,True,34.36,22611.76,22651.75,22631.76,22651.75,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,BUY
2026-03-23 14:45:00+05:30,22614.5,22646.55,22579.05,22596.95,0,1615516595,22612.8,36531354921538.34,562262516636233.1,24895377210,22585.02,22779.39,22747.0,22714.6,22510.88,60.24,58.91,68.03,68.03,22608.63,22569.35,22551.77,22565.67,22565.67,22633.61,22469.93,22592.69,22510.85,22715.96,22581.99,22448.02,True,47.62,22650.2,22659.45,22654.82,22659.45,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,BUY
2026-03-23 15:00:00+05:30,22509.25,22614.75,22486.1,22614.75,0,2620462185,22550.42,59092535456369.6,621355052092602.8,27515839395,22581.72,22778.07,22745.35,22712.62,22661.15,37.51,48.21,13.59,13.59,22590.55,22562.56,22548.62,22562.09,22562.09,22631.97,22465.26,22590.29,22506.94,22715.2,22575.06,22434.92,True,-52.59,22532.9,22529.84,22531.37,22529.84,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
2026-03-23 15:15:00+05:30,22492.65,22510.7,22478.1,22509.55,0,2409610335,22494.4,54202737307742.95,675557789400345.6,29925449730,22574.69,22775.26,22741.83,22708.4,22657.65,35.16,41.69,8.64,8.64,22565.34,22554.71,22546.7,22557.78,22557.78,22633.45,22459.94,22590.08,22503.32,22703.6,22567.21,22430.82,True,-64.3,22494.71,22493.52,22494.12,22493.52,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,WAIT
